,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249
91.05402_317.788_4720,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,164.72602739726113,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594,0.3424657534246594
94.06509_1036.96_11088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6669884169884146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361969111969107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766409266409241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6669884169884146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390926640926636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0651_1043.28_11093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2575539568345293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614868105515586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614868105515586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2767386091127066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.06026_424.004_5523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354085603112874,0.0,0.0,0.8731517509727658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731517509727658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354085603112874,0.0
95.06028_437.319_5524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951140065146609,0.0,0.0,0.9299674267101005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7508143322475592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299674267101005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951140065146609,0.0
100.07551_560.792_6856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9467336683417069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065326633165814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668341708542697,0.0,0.0,0.0,0.0,0.0,0.9065326633165814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9065326633165814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668341708542697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9467336683417069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668341708542697,0.0,0.0,0.0,0.0,0.0
100.0756_425.547_6011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9144694533762037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273311897106088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273311897106088,0.9144694533762037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.07562_335.512_6012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224489795918368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0428571428571458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1857142857142893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2061224489795954,1.0428571428571458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.07564_599.03_7585,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,179.2613636363655,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206,0.28409090909091206
102.0913_953.509_12518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791740412979352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.791740412979352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631268436578185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631268436578185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
