,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
fragment_184.09803,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,0.016490484356449148,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,0.007135571301068849,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_184.10516,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,0.011493564944267282,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.01842,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,0.017771097181356124,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.04479,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,0.013507030670493114,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,0.007963019478796208,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.08046,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,0.01682147578132243,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.09229,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,0.009039325763052585,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.1183,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,0.013515572022445884,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.12822,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,0.047660297382758614,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_185.13306,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,0.011506060022633728,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_186.02244,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,0.04988532110091491,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,3.5535087345243202e-06,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
fragment_186.04878,2.2441047368561255e-06,1.1786726260354185e-06,2.2680262728162235e-06,1.7859949420622533e-06,2.1762217308795987e-06,1.267086663659393e-06,1.2425262048776065e-06,1.2936409784064864e-06,2.5712757641830273e-06,1.476206503575306e-06,2.7403867233742427e-06,1.9123676641576317e-06,2.338568608925665e-06,2.015673880091496e-06,1.4204303335738058e-06,1.0767600720136732e-06,4.565959856080932e-06,2.8033820000446218e-06,1.1867858516137442e-06,2.3831539612785015e-06,2.2400831518865868e-06,2.0867590961828184e-06,2.256765783819771e-06,1.9844734794963357e-06,1.2849968903074676e-06,3.3012888231565358e-06,1.0566222744428044e-06,3.544691470054449e-06,1.733667122043125e-06,2.287219929919445e-06,1.3458732833385714e-06,3.0664311647529915e-06,1.5250597823434255e-06,2.2375769726477353e-06,3.380525468878635e-06,1.5273891420959936e-06,3.09394453176228e-06,3.256141082080788e-06,2.3238952202121397e-06,3.7648901405055334e-06,1.441312632240364e-06,2.6644498443961105e-06,1.835158704524682e-06,1.0549502485462444e-06,1.924142602056446e-06,1.9215544606964126e-06,2.507447117940151e-06,2.5812313506032763e-06,2.923019362080078e-06,2.5470439008486228e-06,2.4557233087432467e-06,2.6737110039249897e-06,1.872967829904433e-06,4.027191597667379e-06,3.8093496678246975e-06,3.0412515358318686e-06,1.7339677343283139e-06,1.3931224331718638e-06,1.7052857035667115e-06,1.7720693517060552e-06,9.762650442443012e-07,1.95422425114117e-06,2.9506184496268074e-06,8.267113752178182e-07,2.7366370015214136e-06,2.0258826770823944e-06,2.9760841874692792e-06,1.849755462327787e-06,2.133051201760894e-06,2.705539863424263e-06,1.0971986324515837e-06,1.4989986688891144e-06,1.909811081487728e-06,1.6980465672289788e-06,1.3808111436981947e-06,1.2055280695155343e-06,2.8279583272060746e-06,2.411893529371905e-06,2.705539863424207e-06,2.3939939479831876e-06,0.02025855329552315,3.078703988768862e-06,2.2669979506337213e-06,1.186363463801633e-06,2.2461209491208056e-06,2.1948500039505695e-06,3.884822774385035e-06,1.1739679647621394e-06,2.456930016805287e-06,1.6586168462395767e-06,4.299004350592287e-06,1.3356270501874696e-06,1.9458584349071325e-06,1.5178837058219207e-06,1.7636311048090025e-06,2.2206825489881516e-06,3.225681586519107e-06,2.967253391570426e-06,2.8586783758132794e-06,2.349005900702636e-06
